region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
AGUASCALIENTES,2020-03-18,1,1,1,1,1,1
AGUASCALIENTES,2020-03-19,1,1,1,1,1,1
AGUASCALIENTES,2020-03-20,1,1,1,1,1,1
AGUASCALIENTES,2020-03-21,1,1,1,1,1,1
AGUASCALIENTES,2020-03-22,1,1,1,1,1,1
AGUASCALIENTES,2020-03-23,1,1,1,1,1,1
AGUASCALIENTES,2020-03-24,1,1,2,1,1,1
AGUASCALIENTES,2020-03-25,2,2,2,2,2,1
AGUASCALIENTES,2020-03-26,2,2,2,2,2,1
AGUASCALIENTES,2020-03-27,2,2,2,2,2,1
AGUASCALIENTES,2020-03-28,2,2,2,2,2,1
AGUASCALIENTES,2020-03-29,2,1,2,2,2,1
AGUASCALIENTES,2020-03-30,2,2,2,2,2,1
AGUASCALIENTES,2020-03-31,2,2,2,2,2,1
AGUASCALIENTES,2020-04-01,3,2,3,3,3,1
AGUASCALIENTES,2020-04-02,3,3,3,3,3,1
AGUASCALIENTES,2020-04-03,3,3,4,3,3,1
AGUASCALIENTES,2020-04-04,4,4,4,4,4,1
AGUASCALIENTES,2020-04-05,5,4,5,5,5,1
AGUASCALIENTES,2020-04-06,5,5,5,5,5,1
AGUASCALIENTES,2020-04-07,6,6,6,6,6,1
AGUASCALIENTES,2020-04-08,7,6,7,7,7,1
AGUASCALIENTES,2020-04-09,7,7,7,7,7,1
AGUASCALIENTES,2020-04-10,8,7,8,8,8,0.99
AGUASCALIENTES,2020-04-11,8,8,9,8,8,0.99
AGUASCALIENTES,2020-04-12,9,9,10,9,9,0.99
AGUASCALIENTES,2020-04-13,10,10,11,10,10,0.99
AGUASCALIENTES,2020-04-14,11,11,12,11,11,0.99
AGUASCALIENTES,2020-04-15,12,12,13,12,12,0.98
AGUASCALIENTES,2020-04-16,13,13,14,13,13,0.98
AGUASCALIENTES,2020-04-17,13,13,14,13,13,0.97
AGUASCALIENTES,2020-04-18,13,13,14,13,13,0.96
AGUASCALIENTES,2020-04-19,12,12,14,12,12,0.96
AGUASCALIENTES,2020-04-20,13,12,14,12,13,0.95
