region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
AGUASCALIENTES,2020-04-02,nowcast,1.2,0.4,2.1,0.8,1.5,0.32
AGUASCALIENTES,2020-04-03,nowcast,1.2,0.4,2.3,0.8,1.5,0.3
AGUASCALIENTES,2020-04-04,nowcast,1.3,0.5,2.4,0.9,1.6,0.24
AGUASCALIENTES,2020-04-05,nowcast,1.4,0.5,2.3,1,1.6,0.22
AGUASCALIENTES,2020-04-06,nowcast,1.4,0.6,2.4,1,1.7,0.16
AGUASCALIENTES,2020-04-07,nowcast,1.4,0.5,2.4,1.1,1.7,0.15
AGUASCALIENTES,2020-04-08,nowcast,1.5,0.7,2.4,1.1,1.7,0.12
AGUASCALIENTES,2020-04-09,nowcast,1.5,0.8,2.5,1.1,1.7,0.1
AGUASCALIENTES,2020-04-10,nowcast,1.5,0.8,2.4,1.2,1.8,0.08
AGUASCALIENTES,2020-04-11,nowcast,1.5,0.8,2.3,1.2,1.7,0.09
AGUASCALIENTES,2020-04-12,nowcast,1.5,0.8,2.2,1.2,1.7,0.09
AGUASCALIENTES,2020-04-13,nowcast,1.5,0.8,2.1,1.1,1.6,0.08
AGUASCALIENTES,2020-04-14,nowcast,1.5,0.9,2.1,1.2,1.6,0.08
AGUASCALIENTES,2020-04-15,nowcast,1.4,0.9,2.1,1.2,1.7,0.08
AGUASCALIENTES,2020-04-16,nowcast,1.4,0.9,2,1.2,1.6,0.07
AGUASCALIENTES,2020-04-17,nowcast,1.4,0.9,1.9,1.2,1.6,0.07
AGUASCALIENTES,2020-04-18,nowcast,1.4,0.9,1.9,1.2,1.5,0.09
AGUASCALIENTES,2020-04-19,nowcast,1.3,0.9,1.8,1.1,1.4,0.11
AGUASCALIENTES,2020-04-20,nowcast,1.3,0.8,1.7,1.1,1.4,0.13
AGUASCALIENTES,2020-04-21,nowcast,1.2,0.8,1.6,1.1,1.4,0.18
AGUASCALIENTES,2020-04-22,nowcast,1.2,0.8,1.6,1.1,1.4,0.21
AGUASCALIENTES,2020-04-23,nowcast,1.2,0.8,1.5,1,1.3,0.23
AGUASCALIENTES,2020-04-24,nowcast,1.1,0.8,1.5,1,1.3,0.24
AGUASCALIENTES,2020-04-25,nowcast,1.1,0.8,1.5,1,1.3,0.27
AGUASCALIENTES,2020-04-26,nowcast,1.1,0.7,1.4,1,1.2,0.3
AGUASCALIENTES,2020-04-27,nowcast,1.1,0.7,1.4,0.9,1.2,0.37
AGUASCALIENTES,2020-04-28,nowcast,1.1,0.7,1.4,0.9,1.2,0.39
AGUASCALIENTES,2020-04-29,nowcast,1,0.7,1.4,0.9,1.2,0.44
AGUASCALIENTES,2020-04-30,nowcast,1,0.7,1.3,0.9,1.2,0.46
AGUASCALIENTES,2020-05-01,nowcast,1,0.7,1.4,0.9,1.1,0.42
AGUASCALIENTES,2020-05-02,nowcast,1.1,0.7,1.4,0.9,1.2,0.37
AGUASCALIENTES,2020-05-03,nowcast,1.1,0.8,1.5,0.9,1.2,0.29
AGUASCALIENTES,2020-05-04,nowcast,1.1,0.8,1.5,1,1.2,0.21
AGUASCALIENTES,2020-05-05,nowcast,1.2,0.9,1.6,1,1.3,0.14
AGUASCALIENTES,2020-05-06,nowcast,1.2,0.9,1.6,1,1.3,0.12
AGUASCALIENTES,2020-05-07,nowcast,1.2,0.9,1.6,1.1,1.3,0.11
AGUASCALIENTES,2020-05-08,nowcast,1.2,0.9,1.5,1.1,1.3,0.11
AGUASCALIENTES,2020-05-09,nowcast,1.2,0.9,1.5,1.1,1.3,0.13
AGUASCALIENTES,2020-05-10,nowcast,1.2,0.9,1.5,1,1.3,0.16
AGUASCALIENTES,2020-05-11,nowcast,1.2,0.8,1.4,1,1.3,0.18
AGUASCALIENTES,2020-05-12,nowcast,1.1,0.9,1.4,1,1.3,0.18
AGUASCALIENTES,2020-05-13,nowcast,1.1,0.9,1.4,1,1.2,0.19
AGUASCALIENTES,2020-05-14,nowcast,1.1,0.9,1.4,1,1.2,0.19
AGUASCALIENTES,2020-05-15,nowcast,1.1,0.8,1.4,1,1.2,0.2
AGUASCALIENTES,2020-05-16,nowcast,1.1,0.9,1.4,1,1.2,0.19
AGUASCALIENTES,2020-05-17,nowcast,1.1,0.9,1.4,1,1.2,0.19
AGUASCALIENTES,2020-05-18,nowcast,1.1,0.9,1.4,1,1.2,0.2
AGUASCALIENTES,2020-05-19,nowcast,1.1,0.9,1.4,1,1.2,0.18
AGUASCALIENTES,2020-05-20,nowcast,1.1,0.9,1.4,1,1.2,0.14
AGUASCALIENTES,2020-05-21,nowcast,1.2,0.9,1.4,1,1.2,0.13
AGUASCALIENTES,2020-05-22,nowcast,1.2,0.9,1.4,1,1.2,0.11
AGUASCALIENTES,2020-05-23,nowcast,1.2,0.9,1.4,1.1,1.2,0.11
AGUASCALIENTES,2020-05-24,nowcast,1.2,0.9,1.4,1.1,1.2,0.11
AGUASCALIENTES,2020-05-25,nowcast,1.2,0.9,1.4,1.1,1.2,0.11
AGUASCALIENTES,2020-05-26,nowcast,1.2,0.9,1.4,1.1,1.2,0.09
AGUASCALIENTES,2020-05-27,nowcast,1.2,0.9,1.4,1.1,1.3,0.1
AGUASCALIENTES,2020-05-28,nowcast,1.2,1,1.4,1.1,1.2,0.09
AGUASCALIENTES,2020-05-29,nowcast,1.2,1,1.4,1.1,1.2,0.1
AGUASCALIENTES,2020-05-30,nowcast,1.1,0.9,1.4,1.1,1.2,0.11
AGUASCALIENTES,2020-05-31,nowcast,1.1,0.9,1.3,1,1.2,0.15
AGUASCALIENTES,2020-06-01,nowcast,1.1,0.9,1.3,1,1.2,0.18
AGUASCALIENTES,2020-06-02,nowcast,1.1,0.9,1.3,1,1.2,0.23
AGUASCALIENTES,2020-06-03,nowcast,1.1,0.9,1.3,1,1.2,0.22
AGUASCALIENTES,2020-06-04,nowcast,1.1,0.9,1.3,1,1.1,0.21
AGUASCALIENTES,2020-06-05,nowcast,1.1,0.9,1.3,1,1.1,0.21
AGUASCALIENTES,2020-06-06,nowcast,1.1,0.9,1.3,1,1.1,0.2
AGUASCALIENTES,2020-06-07,nowcast,1.1,0.9,1.3,1,1.2,0.23
AGUASCALIENTES,2020-06-08,nowcast,1.1,0.9,1.3,1,1.1,0.24
AGUASCALIENTES,2020-06-09,nowcast,1.1,0.9,1.2,1,1.1,0.26
AGUASCALIENTES,2020-06-10,nowcast,1.1,0.9,1.2,1,1.1,0.26
AGUASCALIENTES,2020-06-11,nowcast,1.1,0.9,1.2,1,1.1,0.26
AGUASCALIENTES,2020-06-12,nowcast,1.1,0.9,1.2,1,1.1,0.27
AGUASCALIENTES,2020-06-13,nowcast,1,0.9,1.2,1,1.1,0.3
AGUASCALIENTES,2020-06-14,nowcast,1,0.9,1.2,1,1.1,0.36
AGUASCALIENTES,2020-06-15,nowcast,1,0.8,1.2,1,1.1,0.46
AGUASCALIENTES,2020-06-16,nowcast,1,0.8,1.2,0.9,1.1,0.54
AGUASCALIENTES,2020-06-17,nowcast,1,0.8,1.1,0.9,1,0.61
AGUASCALIENTES,2020-06-18,nowcast,1,0.8,1.1,0.9,1,0.66
AGUASCALIENTES,2020-06-19,nowcast,1,0.8,1.1,0.9,1,0.69
AGUASCALIENTES,2020-06-20,nowcast,1,0.8,1.1,0.9,1,0.7
AGUASCALIENTES,2020-06-21,nowcast,1,0.8,1.1,0.9,1,0.71
AGUASCALIENTES,2020-06-22,nowcast,1,0.8,1.1,0.9,1,0.7
AGUASCALIENTES,2020-06-23,nowcast,1,0.8,1.1,0.9,1,0.66
AGUASCALIENTES,2020-06-24,nowcast,1,0.8,1.1,0.9,1,0.64
AGUASCALIENTES,2020-06-25,nowcast,1,0.8,1.2,0.9,1,0.58
AGUASCALIENTES,2020-06-26,nowcast,1,0.8,1.2,0.9,1.1,0.51
AGUASCALIENTES,2020-06-27,nowcast,1,0.8,1.2,0.9,1.1,0.43
AGUASCALIENTES,2020-06-28,nowcast,1,0.9,1.3,1,1.1,0.32
AGUASCALIENTES,2020-06-29,nowcast,1.1,0.9,1.3,1,1.1,0.22
AGUASCALIENTES,2020-06-30,nowcast,1.1,0.9,1.3,1,1.2,0.15
AGUASCALIENTES,2020-07-01,nowcast,1.1,0.9,1.3,1,1.2,0.11
AGUASCALIENTES,2020-07-02,nowcast,1.1,1,1.3,1,1.2,0.09
AGUASCALIENTES,2020-07-03,nowcast,1.1,1,1.3,1.1,1.2,0.09
AGUASCALIENTES,2020-07-04,nowcast,1.1,0.9,1.3,1,1.2,0.14
AGUASCALIENTES,2020-07-05,nowcast,1.1,0.9,1.3,1,1.2,0.19
AGUASCALIENTES,2020-07-06,nowcast,1.1,0.9,1.2,1,1.1,0.25
AGUASCALIENTES,2020-07-07,nowcast,1.1,0.9,1.2,1,1.1,0.26
AGUASCALIENTES,2020-07-08,nowcast,1.1,0.9,1.2,1,1.1,0.28
AGUASCALIENTES,2020-07-09,nowcast,1.1,0.9,1.2,1,1.1,0.26
AGUASCALIENTES,2020-07-10,nowcast,1.1,0.9,1.2,1,1.1,0.24
AGUASCALIENTES,2020-07-11,nowcast,1,0.9,1.2,1,1.1,0.29
AGUASCALIENTES,2020-07-12,nowcast,1,0.9,1.2,1,1.1,0.34
AGUASCALIENTES,2020-07-13,nowcast,1,0.9,1.2,1,1.1,0.41
AGUASCALIENTES,2020-07-14,forecast,1,0.8,1.3,0.9,1.1,0.39
AGUASCALIENTES,2020-07-15,forecast,1,0.8,1.3,0.9,1.1,0.4
AGUASCALIENTES,2020-07-16,forecast,1,0.8,1.3,0.9,1.1,0.41
AGUASCALIENTES,2020-07-17,forecast,1,0.8,1.3,0.9,1.2,0.41
AGUASCALIENTES,2020-07-18,forecast,1,0.7,1.3,0.9,1.1,0.41
AGUASCALIENTES,2020-07-19,forecast,1,0.7,1.3,0.9,1.2,0.41
AGUASCALIENTES,2020-07-20,forecast,1,0.7,1.3,0.9,1.1,0.41
AGUASCALIENTES,2020-07-21,forecast,1,0.7,1.4,0.9,1.2,0.42
AGUASCALIENTES,2020-07-22,forecast,1,0.7,1.4,0.9,1.2,0.41
AGUASCALIENTES,2020-07-23,forecast,1,0.7,1.4,0.9,1.2,0.41
AGUASCALIENTES,2020-07-24,forecast,1,0.7,1.4,0.9,1.2,0.42
AGUASCALIENTES,2020-07-25,forecast,1,0.6,1.4,0.9,1.2,0.42
AGUASCALIENTES,2020-07-26,forecast,1,0.6,1.4,0.9,1.2,0.42
AGUASCALIENTES,2020-07-27,forecast,1,0.6,1.4,0.9,1.2,0.42
BAJA CALIFORNIA,2020-04-03,nowcast,1.5,1.1,1.9,1.3,1.6,0.01
BAJA CALIFORNIA,2020-04-04,nowcast,1.4,1.1,1.7,1.3,1.5,0.02
BAJA CALIFORNIA,2020-04-05,nowcast,1.4,1,1.7,1.2,1.5,0.02
BAJA CALIFORNIA,2020-04-06,nowcast,1.3,1,1.6,1.2,1.4,0.03
BAJA CALIFORNIA,2020-04-07,nowcast,1.3,1,1.5,1.2,1.4,0.04
BAJA CALIFORNIA,2020-04-08,nowcast,1.3,1,1.5,1.2,1.3,0.03
BAJA CALIFORNIA,2020-04-09,nowcast,1.3,1,1.5,1.2,1.4,0.03
BAJA CALIFORNIA,2020-04-10,nowcast,1.3,1,1.5,1.2,1.3,0.02
BAJA CALIFORNIA,2020-04-11,nowcast,1.2,1,1.5,1.2,1.3,0.03
BAJA CALIFORNIA,2020-04-12,nowcast,1.2,1,1.5,1.1,1.3,0.02
BAJA CALIFORNIA,2020-04-13,nowcast,1.2,1,1.4,1.1,1.3,0.03
BAJA CALIFORNIA,2020-04-14,nowcast,1.2,1,1.4,1.1,1.3,0.03
BAJA CALIFORNIA,2020-04-15,nowcast,1.2,1,1.4,1.1,1.3,0.05
BAJA CALIFORNIA,2020-04-16,nowcast,1.2,1,1.3,1.1,1.2,0.07
BAJA CALIFORNIA,2020-04-17,nowcast,1.1,1,1.3,1.1,1.2,0.11
BAJA CALIFORNIA,2020-04-18,nowcast,1.1,0.9,1.3,1,1.2,0.2
BAJA CALIFORNIA,2020-04-19,nowcast,1.1,0.9,1.2,1,1.1,0.31
BAJA CALIFORNIA,2020-04-20,nowcast,1,0.8,1.2,1,1.1,0.4
BAJA CALIFORNIA,2020-04-21,nowcast,1,0.8,1.2,0.9,1.1,0.43
BAJA CALIFORNIA,2020-04-22,nowcast,1,0.9,1.2,1,1.1,0.42
BAJA CALIFORNIA,2020-04-23,nowcast,1,0.9,1.2,1,1.1,0.37
BAJA CALIFORNIA,2020-04-24,nowcast,1,0.9,1.2,1,1.1,0.3
BAJA CALIFORNIA,2020-04-25,nowcast,1.1,0.9,1.3,1,1.1,0.22
BAJA CALIFORNIA,2020-04-26,nowcast,1.1,0.9,1.3,1,1.1,0.15
BAJA CALIFORNIA,2020-04-27,nowcast,1.1,1,1.3,1,1.1,0.09
BAJA CALIFORNIA,2020-04-28,nowcast,1.1,1,1.3,1.1,1.2,0.06
BAJA CALIFORNIA,2020-04-29,nowcast,1.1,1,1.3,1.1,1.2,0.04
BAJA CALIFORNIA,2020-04-30,nowcast,1.2,1,1.3,1.1,1.2,0.03
BAJA CALIFORNIA,2020-05-01,nowcast,1.1,1,1.3,1.1,1.2,0.05
BAJA CALIFORNIA,2020-05-02,nowcast,1.1,1,1.3,1.1,1.2,0.07
BAJA CALIFORNIA,2020-05-03,nowcast,1.1,0.9,1.2,1.1,1.2,0.13
BAJA CALIFORNIA,2020-05-04,nowcast,1.1,0.9,1.2,1,1.1,0.17
BAJA CALIFORNIA,2020-05-05,nowcast,1.1,0.9,1.2,1,1.1,0.17
BAJA CALIFORNIA,2020-05-06,nowcast,1.1,0.9,1.2,1,1.1,0.14
BAJA CALIFORNIA,2020-05-07,nowcast,1.1,1,1.2,1,1.1,0.1
BAJA CALIFORNIA,2020-05-08,nowcast,1.1,1,1.2,1,1.1,0.08
BAJA CALIFORNIA,2020-05-09,nowcast,1.1,1,1.2,1.1,1.1,0.06
BAJA CALIFORNIA,2020-05-10,nowcast,1.1,1,1.2,1.1,1.1,0.07
BAJA CALIFORNIA,2020-05-11,nowcast,1.1,1,1.2,1,1.1,0.1
BAJA CALIFORNIA,2020-05-12,nowcast,1.1,0.9,1.2,1,1.1,0.15
BAJA CALIFORNIA,2020-05-13,nowcast,1.1,0.9,1.2,1,1.1,0.18
BAJA CALIFORNIA,2020-05-14,nowcast,1.1,0.9,1.2,1,1.1,0.23
BAJA CALIFORNIA,2020-05-15,nowcast,1.1,0.9,1.2,1,1.1,0.22
BAJA CALIFORNIA,2020-05-16,nowcast,1,0.9,1.2,1,1.1,0.26
BAJA CALIFORNIA,2020-05-17,nowcast,1,0.9,1.2,1,1.1,0.3
BAJA CALIFORNIA,2020-05-18,nowcast,1,0.9,1.1,1,1.1,0.34
