"State","New confirmed cases by infection date","Expected change in daily cases","Effective reproduction no."
"AGUASCALIENTES","73 (0 -- 207)","Unsure","2.3 (0 -- 4.8)"
"BAJA CALIFORNIA","48 (2 -- 93)","Likely decreasing","0.8 (0.4 -- 1.2)"
"BAJA CALIFORNIA SUR","51 (0 -- 135)","Unsure","2.6 (0.1 -- 5.5)"
"CAMPECHE","59 (0 -- 173)","Likely increasing","3.7 (0.1 -- 8.7)"
"CHIAPAS","65 (0 -- 159)","Likely increasing","2.6 (0.4 -- 4.9)"
"CHIHUAHUA","77 (0 -- 223)","Unsure","1.9 (0.1 -- 4.1)"
"CIUDAD DE MEXICO","113 (37 -- 189)","Decreasing","0.7 (0.5 -- 0.9)"
"COAHUILA","31 (1 -- 59)","Likely increasing","1.7 (0.6 -- 2.6)"
"COAHUILA DE ZARAGOZA","58 (0 -- 165)","Unsure","2.1 (0.2 -- 4.1)"
"DURANGO","31 (0 -- 64)","Likely increasing","2.8 (0.1 -- 5.3)"
"GUANAJUATO","59 (0 -- 167)","Unsure","2.1 (0.3 -- 4)"
"GUERRERO","38 (0 -- 77)","Likely increasing","1.8 (0.4 -- 2.9)"
"HIDALGO","33 (0 -- 65)","Likely increasing","1.6 (0.4 -- 2.5)"
"JALISCO","99 (0 -- 250)","Likely increasing","3 (0.2 -- 6.2)"
"MEXICO","67 (5 -- 129)","Likely decreasing","0.6 (0.3 -- 1)"
"MICHOACAN","27 (0 -- 52)","Likely increasing","1.7 (0.5 -- 2.8)"
"MICHOACAN DE OCAMPO","41 (0 -- 76)","Unsure","1.5 (0.4 -- 2.4)"
"MORELOS","55 (1 -- 109)","Likely increasing","1.8 (0.5 -- 2.9)"
"NUEVO LEON","58 (0 -- 182)","Unsure","2.2 (0.1 -- 4.7)"
"OAXACA","41 (0 -- 109)","Likely increasing","2.5 (0.2 -- 5)"
"PUEBLA","46 (0 -- 88)","Unsure","1.3 (0.5 -- 2.2)"
"QUERETARO","79 (0 -- 229)","Likely increasing","4.1 (0.1 -- 8.9)"
"QUINTANA ROO","52 (0 -- 104)","Unsure","1.1 (0.4 -- 1.8)"
"SINALOA","79 (3 -- 154)","Unsure","1.2 (0.4 -- 1.9)"
"SONORA","28 (0 -- 54)","Likely increasing","1.8 (0.5 -- 3.1)"
"TABASCO","68 (4 -- 127)","Unsure","1 (0.4 -- 1.5)"
"TAMAULIPAS","37 (2 -- 70)","Likely increasing","1.4 (0.6 -- 2.2)"
"TLAXCALA","47 (0 -- 103)","Likely increasing","2.3 (0.3 -- 4.2)"
"VERACRUZ DE IGNACIO DE LA LLAVE","48 (4 -- 92)","Unsure","1.3 (0.6 -- 1.9)"
"YUCATAN","48 (2 -- 91)","Likely increasing","1.6 (0.6 -- 2.5)"
"ZACATECAS","66 (0 -- 188)","Likely increasing","3.6 (0.1 -- 7.9)"
